=== Worker1.txt (Worker Node 1 Log) ===
============================================================
Worker1 | Thread-based Worker | Ready Queue max=10
============================================================

[0.00] WORKER1 | INIT | INFO | 워커 Thread 시작, 마스터 연결 시도
[0.00] WORKER1 | CONNECT | SUCCESS | 마스터 연결, 대기열 초기화 (0/10)
[1.00] WORKER1 | RECV | INFO | KV[0001] 일반 작업 수신, 대기열=1/10
[5.00] WORKER1 | RECV | INFO | KV[0005] 일반 작업 수신, 대기열=1/10
[9.00] WORKER1 | RECV | INFO | KV[0009] 일반 작업 수신, 대기열=1/10
[13.00] WORKER1 | RECV | INFO | KV[0013] 일반 작업 수신, 대기열=1/10
[17.00] WORKER1 | RECV | INFO | KV[0017] 일반 작업 수신, 대기열=1/10
[21.00] WORKER1 | RECV | INFO | KV[0021] 일반 작업 수신, 대기열=1/10
[25.00] WORKER1 | RECV | INFO | KV[0025] 일반 작업 수신, 대기열=1/10
[29.00] WORKER1 | RECV | INFO | KV[0029] 일반 작업 수신, 대기열=1/10
[33.00] WORKER1 | RECV | INFO | KV[0033] 일반 작업 수신, 대기열=1/10
[37.00] WORKER1 | RECV | INFO | KV[0037] 일반 작업 수신, 대기열=1/10
[54.32] WORKER1 | PROC | SUCCESS | KV[0001] 저장 완료, 처리=1.17초, 대기=0.00초
[55.32] WORKER1 | RECV | INFO | KV[0050] 일반 작업 수신, 대기열=1/10
[56.32] WORKER1 | RECV | INFO | KV[0051] 일반 작업 수신, 대기열=1/10
[57.32] WORKER1 | RECV | INFO | KV[0052] 일반 작업 수신, 대기열=1/10
[58.32] WORKER1 | RECV | INFO | KV[0053] 일반 작업 수신, 대기열=1/10
[59.32] WORKER1 | RECV | INFO | KV[0054] 일반 작업 수신, 대기열=1/10
[60.32] WORKER1 | RECV | INFO | KV[0055] 일반 작업 수신, 대기열=1/10
[61.32] WORKER1 | RECV | INFO | KV[0056] 일반 작업 수신, 대기열=1/10
[62.32] WORKER1 | RECV | INFO | KV[0057] 일반 작업 수신, 대기열=1/10
[63.32] WORKER1 | RECV | INFO | KV[0058] 일반 작업 수신, 대기열=1/10
[64.32] WORKER1 | RECV | INFO | KV[0059] 일반 작업 수신, 대기열=1/10
[271.77] WORKER1 | RECV | INFO | KV[0245] 일반 작업 수신, 대기열=1/10
[272.77] WORKER1 | RECV | INFO | KV[0246] 일반 작업 수신, 대기열=1/10
