=== Worker3.txt (Worker Node 3 Log) ===
============================================================
Worker3 | Thread-based Worker | Ready Queue max=10
============================================================

[0.00] WORKER3 | INIT | INFO | 워커 Thread 시작, 마스터 연결 시도
[0.00] WORKER3 | CONNECT | SUCCESS | 마스터 연결, 대기열 초기화 (0/10)
[2.00] WORKER3 | RECV | INFO | KV[0002] 일반 작업 수신, 대기열=1/10
[8.00] WORKER3 | RECV | INFO | KV[0008] 일반 작업 수신, 대기열=1/10
[11.00] WORKER3 | RECV | INFO | KV[0011] 일반 작업 수신, 대기열=1/10
[14.00] WORKER3 | RECV | INFO | KV[0014] 일반 작업 수신, 대기열=1/10
[20.00] WORKER3 | RECV | INFO | KV[0020] 일반 작업 수신, 대기열=1/10
[23.00] WORKER3 | RECV | INFO | KV[0023] 일반 작업 수신, 대기열=1/10
[26.00] WORKER3 | RECV | INFO | KV[0026] 일반 작업 수신, 대기열=1/10
[32.00] WORKER3 | RECV | INFO | KV[0032] 일반 작업 수신, 대기열=1/10
[35.00] WORKER3 | RECV | INFO | KV[0035] 일반 작업 수신, 대기열=1/10
[38.00] WORKER3 | RECV | INFO | KV[0038] 일반 작업 수신, 대기열=1/10
[66.44] WORKER3 | PROC | SUCCESS | KV[0002] 저장 완료, 처리=1.12초, 대기=0.00초
[67.44] WORKER3 | RECV | INFO | KV[0060] 일반 작업 수신, 대기열=1/10
[68.44] WORKER3 | RECV | INFO | KV[0061] 일반 작업 수신, 대기열=1/10
[69.44] WORKER3 | RECV | INFO | KV[0062] 일반 작업 수신, 대기열=1/10
[70.44] WORKER3 | RECV | INFO | KV[0063] 일반 작업 수신, 대기열=1/10
[71.44] WORKER3 | RECV | INFO | KV[0064] 일반 작업 수신, 대기열=1/10
[72.44] WORKER3 | RECV | INFO | KV[0065] 일반 작업 수신, 대기열=1/10
[73.44] WORKER3 | RECV | INFO | KV[0066] 일반 작업 수신, 대기열=1/10
[74.44] WORKER3 | RECV | INFO | KV[0067] 일반 작업 수신, 대기열=1/10
[75.44] WORKER3 | RECV | INFO | KV[0068] 일반 작업 수신, 대기열=1/10
[76.44] WORKER3 | RECV | INFO | KV[0069] 일반 작업 수신, 대기열=1/10
[261.77] WORKER3 | RECV | INFO | KV[0235] 일반 작업 수신, 대기열=1/10
[262.77] WORKER3 | RECV | INFO | KV[0236] 일반 작업 수신, 대기열=1/10
[263.77] WORKER3 | RECV | INFO | KV[0237] 일반 작업 수신, 대기열=1/10
[264.77] WORKER3 | RECV | INFO | KV[0238] 일반 작업 수신, 대기열=1/10
[265.77] WORKER3 | RECV | INFO | KV[0239] 일반 작업 수신, 대기열=1/10
[266.77] WORKER3 | RECV | INFO | KV[0240] 일반 작업 수신, 대기열=1/10
[267.77] WORKER3 | RECV | INFO | KV[0241] 일반 작업 수신, 대기열=1/10
[268.77] WORKER3 | RECV | INFO | KV[0242] 일반 작업 수신, 대기열=1/10
[269.77] WORKER3 | RECV | INFO | KV[0243] 일반 작업 수신, 대기열=1/10
[270.77] WORKER3 | RECV | INFO | KV[0244] 일반 작업 수신, 대기열=1/10
[281.77] WORKER3 | RECV | INFO | KV[0255] 일반 작업 수신, 대기열=1/10
[282.77] WORKER3 | RECV | INFO | KV[0256] 일반 작업 수신, 대기열=1/10
[283.77] WORKER3 | RECV | INFO | KV[0257] 일반 작업 수신, 대기열=1/10
[284.77] WORKER3 | RECV | INFO | KV[0258] 일반 작업 수신, 대기열=1/10
[285.77] WORKER3 | RECV | INFO | KV[0259] 일반 작업 수신, 대기열=1/10
[286.77] WORKER3 | RECV | INFO | KV[0260] 일반 작업 수신, 대기열=1/10
[287.77] WORKER3 | RECV | INFO | KV[0261] 일반 작업 수신, 대기열=1/10
[288.77] WORKER3 | RECV | INFO | KV[0262] 일반 작업 수신, 대기열=1/10
[289.77] WORKER3 | RECV | INFO | KV[0263] 일반 작업 수신, 대기열=1/10
[292.43] WORKER3 | PROC | SUCCESS | KV[0008] 저장 완료, 처리=1.66초, 대기=0.00초
[293.43] WORKER3 | RECV | INFO | KV[0264] 일반 작업 수신, 대기열=1/10
[294.43] WORKER3 | RECV | INFO | KV[0265] 일반 작업 수신, 대기열=1/10
